name;price
Smart TV Samsung 55 Polegadas OLED 4K, 4 HDMI, Painel de Pontos Quânticos, Som em Movimento Virtual, Alexa Built in, Dolby Atmos - QN55S90CAGXZD; 5.999,99
Smart TV 65 Polegadas TCL QLED 4K UHD Mini LED, HDMI, BlueTooth, USB, Wifi, FreeSync, Google TV - 65C835; 6.299,99
Smart TV LED LG 43 Polegadas Full HD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI - 43LM631C0SB.BWZ; 1.649,70
Suporte Multivisao Fixo Tv 14 a 84 Polegadas - Preto; 5,62
Smart TV LED HQ 32 Polegadas HD, Wi-Fi, HDMI - HQTVS32; 899,00
Smart Tv Philips 43 Polegadas, LED Full HD, Com Wi-Fi, Com 2 USB E 4 HDMI, 60Hz - 43pfg6918/78; 1.590,40
Smart TV Samsung 43 Polegadas, Crystal UHD 4K, Gaming Hub, Visual Livre De Cabos, Alexa Built In, Controle Único - 43cu7700; 2.199,00
Smart TV 50 Polegadas TCL QLED 4K UHD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Google Assistente, Dolby Vision Atmos - 50C635; 2.799,99
Smart TV 55 Polegadas Samsung QLED 4K, 4 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, FreeSync, Alexa built in - QN55Q70CAGXZD; 3.799,99
Smart TV Samsung 85 Polegadas Crystal UHD 4K BU8000, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Alexa, Google, Tela Infinita - UN85BU8000GXZD; 8.499,99
Mi Tv Stick Xiaomi Full Hd Com Bluetooth 4.2 E Wi-fi; 289,99
Amazon Fire TV Stick Lite 2ª Geração Full HD, HDMI, Bluetooth, com Controle Remoto por Voz com Alexa - B091G767YB; 250,17
Smart TV LG 55 Polegadas LED 4K UHD NanoCell, 4 HDMI, 2 USB, Quantum Dot, FreeSync, ThinQAI Google, Alexa - 55QNED80SQA; 4.699,99
Smart TV HQ 60 Polegadas 4K, UHD, HDR, Tela Sem Bordas, Android 11, Sistema Ultrasound, Design Slim, Processador, Quad Core, Espelhamento De Tela - HQSTV60NK; 2.159,00
Smart Tv LG 50 Polegadas, 4K UHD, HDR LED, Wi-Fi, Bluetooth, Google Assistente, Alexa, Apple Airplay - 50ur871c0sa.Bwz; 2.499,00
Smart TV LED Samsung 43 Polegadas 2 HDMI, USB, Wi-Fi, Business - LH43BETMLGGXZD; 1.684,90
Smart TV Aoc  50 Polegadas DLED - VA, 4K UHD, Wi-Fi, Linha Marrom - 50u6125/78g; 2.280,37
Smart TV LG 32 Polegadas LED HD, USB, HDMI, Wi-Fi, Bluetooth, HDR 10, Thinq AI, Google Assistente Alexa - 32LQ621CBSBAWZ; 1.094,90
Smart TV LED Samsung 65 Polegadas 4K, Wi-Fi, 3 HDMI, 1 USB, Bluetooth, Crystal UHD, LH65BEAH Tizen - LH65BEAHVGGXZD; 3.819,00
Smart TV Semp 50 Polegadas LED, Ultra HD 4K, 4 HDMI, 1 USB, Wi-Fi, Roku, Compatível Com Google Assistant E Alexa - 50RK8600; 2.226,90
Antena Interna Para TV Digital HDTV, Cabo 2.5Mts, Aquário - DTV-100; 24,41
Smart TV 77 Polegadas LG 4K OLED evo, 4 HDMI, 3 USB, Bluetooth, G-Sync, FreeSync, ThinQ AI, Alexa, Google Assistente - OLED77C3PSA; 21.999,99
Smart TV 55 Polegadas Samsung Crystal UHD 4K, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, Alexa built in - UN55CU8000GXZD; 2.899,99
Apple TV 4K 3ª Geração, Wi-Fi, 64GB - MN873BZ/A; 1.209,99
Smart TV Samsung 70 Polegadas, Crystal 4k UHD, 3 HDMI, 1 USB e Wi-Fi, Gaming Hub, Visual Livre De Cabos, Alexa Built In, Controle Único - 70cu7700; 4.499,00
"Suporte Fixo Tv 32"" a 84"" Stpf63 Multivisao"; 49,21
Smart TV Samsung Crystal UHD 4K 50 Polegadas Com Gaming Hub, Visual Livre De Cabos E Tela Sem Limites - 50cu7700; 2.459,90
Smart Tv 4k Samsung Crystal Uhd 50 Polegadas, Com Painel Dynamic Crystal Color, Design Airslim E Alexa Built In - 5; 2.606,62
Smart TV Buster, Led 29 Polegadas, HD Com Conversor Digital, Integrado Android, 2 HDMI, 2 USB, Wifi, Bivolt - Hbtv-29d07hd; 843,78
TV LED LG 32 Polegadas HD, 2 HDMI, 1 USB, Pro Conversor Digital, Bivolt - 32LT330HBSB; 979,90
Roku Express Streaming Player, Full HD, HDMI, Wi-fi, Com Controle Remoto - 3930br; 192,85
Suporte Fixo Para Tv E Monitor 42 A 86 Polegadas Fix600 - Elg; 139,90
Apple TV HD 32GB; 586,05
Smart TV Multi 32 Polegadas HD, Wi-Fi Integrado - TL026; 1.299,00
Google Chromecast 3, FULL HD, Smart Tv, Google; 312,55
Smart TV 55 Polegadas LG 4K OLED evo, 4 HDMI, 3 USB, Bluetooth, G-Sync, FreeSync, ThinQ AI, Alexa, Google Assistente - OLED55C3PSA; 6.999,99
Smart TV Samsung 43 Polegadas LED Full HD, 2 HDMI, 1 USB, Wi-Fi, HDR - UN43T5300AGXZD; 1.820,78
Antena Digital Interna Intelbras AI 2031, UHF/HDTV; 37,05
Smart TV Philips 75 Polegadas HD 4K, 4 HDMI, 2 USB, Bluetooth, Wi-Fi, Google Assistant Built-in, Dolby Vision/Atmos - 75PUG7906/78; 4.799,99
Smart Tv LG 43 Polegadas, 4K UHD, HDR LED, Wi-Fi, Bluetooth, Google Assistente, Alexa, Apple Airplay - 43ur781c0sa.Bwz; 1.999,00
Smart TV Samsung Neo Qled 8K Qn900c 2023, 85 Polegadas, 4 HDMI, 3 USB, Mini LED, Painel 120hz, Processador Com Ia; 80.749,00
Smart Tv Philco,Led 4k Uhd, 55 Polegadas, Android Tv - Ptv55g7eagcpbl; 2.272,50
Suporte Para Tv ELG Fixo De Parede, LCD, LED, Plasma, 3D, De 32 À 65 Polegadas - N01v4; 79,80
Smart TV LED Philco 24 Polegadas HD, 2 Entradas HDMI, 1 USB, Conversor Digital, Processador Quad-Core - PTV24G50SN; 930,05
Smart TVHQ 32 Polegadas LED HD, 3 HDMI, 2 USB, Wi-Fi, Conversor Digital Externo, Android 11, Design Slim; 899,00
Antena Digital Para Tv, Uhf Hitachi Diva Hdtv 75ohms.; 17,00
Amazon Fire Tv Stick B08c1k6lb2, Full HD, Com Controle Remoto Por Voz Com Alexa, inclui Comandos De Tv; 271,15
Google Chromecast 3; 290,00
Smart TV LG 75 Polegadas 4K UHD,  2 HDMI, 2 USB, Bluetooth, FreeSync, ThinQ Google, Alexa - 75QNED80SQA; 8.999,99
Smart TV 32? HD LED Semp R6500 Wi-Fi; 949,05
Smart TV 55 Polegadas TCL, LED, 4K HDR, HDMI, Wi-Fi, Bluetooth, Bivolt - 55P635; 2.849,90
Smart TV Samsung, 32 Polegadas HD, 2 HDMI, 1 USB, Wi-Fi - LH32BETBLGGXZD; 1.098,00
Suporte Brasfoot Sbrp430, Para Tv De Lcd De 10 Polegadas A 70 Polegadas, Com Suporte Para Dvd Preto; 149,90
Smart TV Philco 55 Polegadas, LED 4K, HDMI e USB, Dolby Audio, Chromecast - 99553056; 2.199,99
Smart TV Samsung 60 Polegadas 4K, Crystal UHD, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In, Controle Único - 60AU7700; 5.789,99
Smart Tv Aoc 32 Polegadas LED HD, Roku Tv, 3x HDMI, 1x USB, Wi-Fi, Processador Quad Core - 32s5135/78g; 1.139,05
Suporte Articulado ELG, Para TV Até 55p, VESA, Pedestais, Aço, Preto - Full20; 97,00
Smart TV LG 32 Polegadas HD, HDMI / USB/ WI-FI, Inteligência Artificial Thinq - 32LQ620BPSB; 1.186,55
Smart TV Samsung 75 Polegadas Neo QLED 8K Mini LED, 4 HDMI, 3 USB, Bluetooth, Tela Infinita, Alexa built in, Dolby Atmos - QN75QN900BGXZD; 24.999,99
Google Chromecast 3,FULL HD, Smart Tv Google; 329,00
Smart TV Samsung 55 Polegadas Neo QLED 8K, Única Conexão, Alexa Built-in, Mini LED, Ultrafina - QN55QN700BGXZD; 6.599,99
Pedestal Para Tv De 32 A 75 Suporte Videoconferência Com Rodízios Ava1500-60-1p Nb; 688,95
Monitor Smart Tv Lg 24 Polegadas, WIFI, HDMI - TQ520S; 854,50
Smart TV TCL 98 Polegadas QLED 4K UHD, 4 HDMI e 2 USB, Google, Alexa, TV Dolby Atmos, Comando de voz a distancia - 98C735; 29.999,99
Smart TV LED TCL 50 Polegadas 4K, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, Google TV, UHD, Com Comando De Voz HDR - 50P635; 2.670,63
Controle Remoto Universal 3 Em 1 - Ac088; 36,90
Suporte Articulado Para Tv Led,lcd,plasma De 17Polegadas A 56Polegadas Polegadas, Com Inclinação,Sta-300; 118,44
Suporte de Parede para DVD Brasforma, Preto - Advd1786x5; 41,85
Fire TV Stick Full HD Amazon, 4k Max, 3 Geração, Wifi 6, Alexa - Preto; 514,16
Smart TV Samsung 50 Polegadas LED Crystal 4K, 3 HDMI, 1 USB, WI-FI, Comando Voz, Bivolt - UN50AU7700GXZD; 3.899,99
Smart Tv LG 43 Polegadas, 4k UHD Thinq Ai, HDR, Bluetooth, 3 HDMI - 43ur7800psa; 2.157,70
Smart TV TCL 75 Polegadas LED, Ultra HD 4K, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Google Tv, Comando De Voz, HDR - 75P735; 6.123,74
Smart Tv 4k Uhd 75 Polegadas Samsung 3 HDMI 1 Usb Wi-fi Un75cu7700gxzd; 5.449,00
Smart Tv Lg 55 Polegadas, Lcd, Uhd, Thinq Ai, Hdr, Bluetooth, Alexa Google Assistente Airplay - 55ur8750psa; 3.022,90
Smart TV Samsung 55 Polegadas, 4K UHD, 3 HDMI, 1 USB, Wi-Fi - Un55cu7700gxzd; 2.799,00
Smart TV TCL 40 Polegadas LED, Full HD, 2 HDMI, 1 USB, Wi-fi, Bluetooth, Com Google Assistente - 40S615; 1.699,90
Conversor De Av Rca Audio Video P/HDMI, FULL HD 1080p - Av2hdmi; 37,50
Smart Tv Samsung 55p, Ultra HD 4K, Business, HDR, HDMI, Wi-Fi, USB - Lh55bechvggxzd; 3.299,00
Suporte Elg A06v6_pro Pedestal Para Tv Elg Com Rodas E 3 Níveis De Regulagem De Altura; 856,00
Conversor E Receptor De Tv Digital Hdtv Imagevox Isdbt07; 96,90
Smart TV Samsung 75 Polegadas, Qled, 4K, Modo Game, Processador IA, Som Em Movimento Virtual, Preto - 75q70c; 9.051,60
Receptor Regional Sat Hd Bs9900 Preto Bedinsat; 174,00
Smart Tv Multi 43 Polegadas, Full HD, BT, 3 HDMI E 2 USB, Android, Comando De Voz - Tl046m; 1.483,90
Fire TV Stick Amazon 2, Geração 4K, Preto; 416,08
Smart TV LG 55p LED, Ultra HD 4K, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Thinq Ai - 55UQ801C0SB.BWZ; 2.994,78
